S.No	LibID	Treatment	Brain.region	Replicate	Group
1	RRB001	Sham	PLC	Rep1	cortex
2	RRB002	Sham	ILC	Rep1	cortex
3	RRB003	Sham	CGC	Rep1	cortex
4	RRB004	Sham	InsularCortex	Rep1	cortex
5	RRB005	Sham	NaCshell	Rep1	nac
6	RRB006	Sham	NaCcore	Rep1	nac
7	RRB007	Sham	LS	Rep1	ssthal
8	RRB008	Sham	MS	Rep1	ssthal
9	RRB009	Sham	BNST	Rep1	ssthal
10	RRB010	Sham	MPOA	Rep1	ven
11	RRB011	Sham	PVN	Rep1	pvnhb
12	RRB012	Sham	MDT	Rep1	ssthal
13	RRB013	Sham	LH	Rep1	ssthal
14	RRB014	Sham	VMH	Rep1	ven
15	RRB015	Sham	BLA	Rep1	amyg
16	RRB016	Sham	CMA	Rep1	amyg
17	RRB017	Sham	dorDG	Rep1	hippocamp
18	RRB018	Sham	dorCA1	Rep1	hippocamp
19	RRB019	Sham	HB	Rep1	pvnhb
20	RRB020	Sham	venDG	Rep1	hippocamp
21	RRB021	Sham	venCA1	Rep1	hippocamp
22	RRB022	Sham	VTA	Rep1	ven
23	RRB023	Sham	PAG	Rep1	caudal
24	RRB024	Sham	Raphe	Rep1	caudal
25	RRB025	Fluoxetine	PLC	Rep1	cortex
26	RRB026	Fluoxetine	ILC	Rep1	cortex
27	RRB027	Fluoxetine	CGC	Rep1	cortex
28	RRB028	Fluoxetine	InsularCortex	Rep1	cortex
29	RRB029	Fluoxetine	NaCshell	Rep1	nac
30	RRB030	Fluoxetine	NaCcore	Rep1	nac
31	RRB031	Fluoxetine	LS	Rep1	ssthal
32	RRB032	Fluoxetine	MS	Rep1	ssthal
33	RRB033	Fluoxetine	BNST	Rep1	ssthal
34	RRB034	Fluoxetine	PVN	Rep1	pvnhb
35	RRB035	Fluoxetine	MDT	Rep1	ssthal
36	RRB036	Fluoxetine	LH	Rep1	ssthal
37	RRB037	Fluoxetine	VMH	Rep1	ven
38	RRB038	Fluoxetine	BLA	Rep1	amyg
39	RRB039	Fluoxetine	CMA	Rep1	amyg
40	RRB040	Fluoxetine	dorDG	Rep1	hippocamp
41	RRB041	Fluoxetine	dorCA1	Rep1	hippocamp
42	RRB042	Fluoxetine	HB	Rep1	pvnhb
