#name	value
ENSRNOT00000073861	Vom2r3
ENSRNOT00000046586	Vom2r3
ENSRNOT00000044669	Vom2r3
ENSRNOT00000073698	Vom2r3
ENSRNOT00000044187	Vom2r3
ENSRNOT00000072186	Vom2r3
ENSRNOT00000073546	Vom2r6
ENSRNOT00000045627	Vom2r6
ENSRNOT00000041332	Vom2r5
ENSRNOT00000062040	Raet1c
ENSRNOT00000028992	Raet1e
ENSRNOT00000019181	LRP11
ENSRNOT00000019623	Pcmt1
ENSRNOT00000073528	Nup43
ENSRNOT00000020098	Lats1
ENSRNOT00000020417	Katna1
ENSRNOT00000020810	Ginm1
ENSRNOT00000021437	Ppil4
ENSRNOT00000065646	Zc3h12d
ENSRNOT00000061999	Tab2
ENSRNOT00000021905	Tab2
ENSRNOT00000022003	Ust
ENSRNOT00000017688	Sash1
ENSRNOT00000034744	Samd5
ENSRNOT00000049699	Stxbp5
ENSRNOT00000040559	Stxbp5
ENSRNOT00000044778	Stxbp5
ENSRNOT00000061956	Adgb
ENSRNOT00000061954	Adgb
ENSRNOT00000019121	Rab32
ENSRNOT00000019319	Grm1
ENSRNOT00000044325	Grm1
ENSRNOT00000019893	Shprh
ENSRNOT00000019918	Fbxo30
ENSRNOT00000061930	Epm2a
ENSRNOT00000016273	Utrn
ENSRNOT00000019994	Sf3b5
ENSRNOT00000030329	Plagl1
ENSRNOT00000066725	Zc2hc1b
ENSRNOT00000020453	Ltv1
ENSRNOT00000048754	Phactr2
ENSRNOT00000020946	Fuca2
ENSRNOT00000021524	Pex3
ENSRNOT00000073460	Adat2
ENSRNOT00000046539	Aig1
ENSRNOT00000015131	Hivep2
ENSRNOT00000030511	Gpr126
ENSRNOT00000064836	Vta1
ENSRNOT00000016102	Gje1
ENSRNOT00000016215	Nmbr
ENSRNOT00000072832	Olr905
ENSRNOT00000015927	RGD1309903
ENSRNOT00000016244	Cited2
ENSRNOT00000016553	Txlnb
ENSRNOT00000036663	Heca
ENSRNOT00000016618	Abracl
ENSRNOT00000061754	Ect2l
ENSRNOT00000061756	Ccdc28a
ENSRNOT00000015115	Nhsl1
ENSRNOT00000015145	Nhsl1
ENSRNOT00000015225	Hebp2
ENSRNOT00000004344	RGD1560303
ENSRNOT00000016037	Perp
ENSRNOT00000074583	Tnfaip3
ENSRNOT00000016048	Olig3
ENSRNOT00000016286	Ifngr1
ENSRNOT00000016354	Il22ra2
ENSRNOT00000050656	Il20ra
ENSRNOT00000016400	Slc35d3
ENSRNOT00000016728	Pex7
ENSRNOT00000051496	Map3k5
ENSRNOT00000067070	Map3k5
ENSRNOT00000017401	Map7
ENSRNOT00000049492	Bclaf1
ENSRNOT00000018556	Pde7b
ENSRNOT00000019299	Myb
ENSRNOT00000019313	Myb
ENSRNOT00000019734	Hbs1l
ENSRNOT00000020015	Aldh8a1
ENSRNOT00000020102	RGD1560849
ENSRNOT00000020988	Ptprk
ENSRNOT00000019076	Ahi1
ENSRNOT00000067354	PTPRK
ENSRNOT00000075402	RGD1560695
ENSRNOT00000014917	Lama2
ENSRNOT00000015547	Arhgap18
ENSRNOT00000015730	L3mbtl3
ENSRNOT00000061404	L3mbtl3
ENSRNOT00000061389	Samd3
ENSRNOT00000070858	Tmem200a
ENSRNOT00000036049	RGD1559962
ENSRNOT00000071726	Smlr1
ENSRNOT00000061332	Epb41l2
ENSRNOT00000017322	Epb41l2
ENSRNOT00000017412	Epb41l2
ENSRNOT00000017417	Epb41l2
ENSRNOT00000017617	Akap7
