ensembl_transcript_id,GeneName,logfc,pvalue,fdr
ENSRNOT00000000006,Sp5,0.31711232904813,0.447065873820332,NA
ENSRNOT00000000008,Gad1,0.036656462729978,0.860211022966229,0.968869504018752
ENSRNOT00000000009,Alx4,0.115330436998178,0.666346410187561,NA
ENSRNOT00000000010,Tmco5b,0.097308532604978,0.833335552391165,NA
ENSRNOT00000000011,Cbln1,0.194453255416523,0.508697468516798,0.840836959478461
ENSRNOT00000000013,Tcf15,0.627288185065512,0.099304202487381,0.478860195715715
ENSRNOT00000000015,ENSRNOT00000000015,-1.29118906608837,2.21E-06,0.001260579937834
ENSRNOT00000000018,Steap1,-0.757385603684931,0.251112886547468,NA
ENSRNOT00000000022,ENSRNOT00000000022,0.117178210446257,0.802505233713186,NA
ENSRNOT00000000025,HEBP1,-0.42217702900491,0.131465930420478,0.536796664956402
ENSRNOT00000000026,Slc21a4,NA,NA,NA
ENSRNOT00000000029,Nde1,0.323834413678867,0.499394625483419,NA
ENSRNOT00000000036,Tmcc2,-0.680247966816592,0.01579086655607,0.230280130628267
ENSRNOT00000000037,Fgfrl1,0.723258177986751,0.028796830366377,0.290071850466353
ENSRNOT00000000039,Nuak2,0.14830507326176,0.698571681852543,0.922734754000054
ENSRNOT00000000040,Tmed11,0.300158107474802,0.614544884288303,NA
ENSRNOT00000000041,Klhdc8a,0.147855398648736,0.713284832241957,0.926402278749778
ENSRNOT00000000043,ENSRNOT00000000043,NA,NA,NA
ENSRNOT00000000047,Slc26a1,-0.409076892025623,0.302380703809205,0.713420857191628
ENSRNOT00000000048,Idua,-0.493335575850853,0.190344504503579,0.60706680169046
ENSRNOT00000000049,Xpr1,-1.28317689160952,0.000258570825013,0.034854766153666
ENSRNOT00000000050,Tmem175,0.086590003950154,0.665583580197538,0.910676474339059
ENSRNOT00000000052,Cd82,0.386762899638566,0.175484720380247,0.589755997007817
ENSRNOT00000000053,Cd244,-0.615663383269096,0.336485577191908,NA
ENSRNOT00000000058,Crp,-0.027945314664883,0.963668980430006,NA
ENSRNOT00000000059,Fcrl6,-0.372299476040536,0.430783968668992,NA
ENSRNOT00000000060,Abhd8,-0.150428363485351,0.597362584827062,0.884177576911512
ENSRNOT00000000064,Gak,0.05889046028281,0.759037269829592,0.941934030057371
ENSRNOT00000000071,Pcgf3,0.09066786939921,0.765619390637143,0.945167300830809
ENSRNOT00000000072,Atp5i,0.583038922181431,0.064193471130881,0.407123598502993
ENSRNOT00000000074,Fbxo28,-0.218033853372391,0.461702570991118,0.814326042955079
ENSRNOT00000000077,Pde6b,-0.007358661197165,0.991435908783806,NA
ENSRNOT00000000078,Ppp2r5a,-0.473783006134593,0.04775084209054,0.363278065418545
ENSRNOT00000000079,Acot7,0.230553342414472,0.73889966145872,NA
ENSRNOT00000000080,Dr1,0.084825751409747,0.707977822157881,0.923419214223538
